Year,Country,Value 1,Value 2
1990,Brazil,70.45802056,0
1991,Brazil,70.00565437,-0.642036473
1992,Brazil,69.55328817,-1.28407296
1993,Brazil,69.10092198,-1.926109433
1994,Brazil,68.64855578,-2.56814592
1995,Brazil,68.19618958,-3.210182407
1996,Brazil,67.74382339,-3.852218879
1997,Brazil,67.29145719,-4.494255366
1998,Brazil,66.83909099,-5.136291853
1999,Brazil,66.3867248,-5.778328326
2000,Brazil,65.9343586,-6.420364813
2001,Brazil,65.4616709,-7.091243297
2002,Brazil,64.98898319,-7.762121795
2003,Brazil,64.51629549,-8.433000278
2004,Brazil,64.04360779,-9.103878762
2005,Brazil,63.57092009,-9.774757246
2006,Brazil,63.09823238,-10.44563574
2007,Brazil,62.62554468,-11.11651423
2008,Brazil,62.15285698,-11.78739271
2009,Brazil,61.68016927,-12.45827121
2010,Brazil,61.20748157,-13.12914969
2011,Brazil,61.02332816,-13.39051583
2012,Brazil,60.83917474,-13.65188199
2013,Brazil,60.65502133,-13.91324813
2014,Brazil,60.47086792,-14.17461427
2015,Brazil,60.28671451,-14.43598042
2016,Brazil,60.07103255,-14.74209455
2017,Brazil,59.83288148,-15.08009875
2018,Brazil,59.70842795,-15.25673376
1990,Indonesia,65.43771425,0
1991,Indonesia,64.48467352,-1.456408955
1992,Indonesia,63.53163278,-2.912817924
1993,Indonesia,62.57859205,-4.369226879
1994,Indonesia,61.62555132,-5.825635834
1995,Indonesia,60.67251058,-7.282044803
1996,Indonesia,59.71946985,-8.738453758
1997,Indonesia,58.76642912,-10.19486271
1998,Indonesia,57.81338839,-11.65127167
1999,Indonesia,56.86034765,-13.10768064
2000,Indonesia,55.90730692,-14.56408959
2001,Indonesia,55.81783757,-14.70081403
2002,Indonesia,55.72836821,-14.83753849
2003,Indonesia,55.63889886,-14.97426293
2004,Indonesia,55.5494295,-15.11098739
2005,Indonesia,55.45996015,-15.24771183
2006,Indonesia,55.37049079,-15.38443629
2007,Indonesia,55.28102143,-15.52116075
2008,Indonesia,55.19155208,-15.65788519
2009,Indonesia,55.10208272,-15.79460965
2010,Indonesia,55.01261337,-15.93133409
2011,Indonesia,54.50131102,-16.71269138
2012,Indonesia,53.99000867,-17.49404867
2013,Indonesia,53.47870632,-18.27540596
2014,Indonesia,52.96740396,-19.05676326
2015,Indonesia,52.45610161,-19.83812055
2016,Indonesia,50.74345453,-22.4553377
2017,Indonesia,50.03933382,-23.53135437
2018,Indonesia,49.71681778,-24.02421394
1990,Dem. People's Rep. Of Korea,67.91416131,0
1991,Dem. People's Rep. Of Korea,67.83640887,-0.114486343
1992,Dem. People's Rep. Of Korea,67.75865644,-0.228972672
1993,Dem. People's Rep. Of Korea,67.680904,-0.343459016
1994,Dem. People's Rep. Of Korea,67.60315157,-0.457945345
1995,Dem. People's Rep. Of Korea,67.52539913,-0.572431688
1996,Dem. People's Rep. Of Korea,67.44764669,-0.686918032
1997,Dem. People's Rep. Of Korea,67.36989426,-0.80140436
1998,Dem. People's Rep. Of Korea,67.29214182,-0.915890704
1999,Dem. People's Rep. Of Korea,67.21438938,-1.030377047
2000,Dem. People's Rep. Of Korea,67.13663695,-1.144863376
2001,Dem. People's Rep. Of Korea,66.85032045,-1.566449235
2002,Dem. People's Rep. Of Korea,66.72383511,-1.752692188
2003,Dem. People's Rep. Of Korea,66.625,-1.898221645
