Year,Country,Value 1,Value 2
1990,Brazil,70.45802056,
1991,Brazil,70.00565437,-0.6%
1992,Brazil,69.55328817,-0.6%
1993,Brazil,69.10092198,-0.7%
1994,Brazil,68.64855578,-0.7%
1995,Brazil,68.19618958,-0.7%
1996,Brazil,67.74382339,-0.7%
1997,Brazil,67.29145719,-0.7%
1998,Brazil,66.83909099,-0.7%
1999,Brazil,66.3867248,-0.7%
2000,Brazil,65.9343586,-0.7%
2001,Brazil,65.4616709,-0.7%
2002,Brazil,64.98898319,-0.7%
2003,Brazil,64.51629549,-0.7%
2004,Brazil,64.04360779,-0.7%
2005,Brazil,63.57092009,-0.7%
2006,Brazil,63.09823238,-0.7%
2007,Brazil,62.62554468,-0.7%
2008,Brazil,62.15285698,-0.8%
2009,Brazil,61.68016927,-0.8%
2010,Brazil,61.20748157,-0.8%
2011,Brazil,61.02332816,-0.3%
2012,Brazil,60.83917474,-0.3%
2013,Brazil,60.65502133,-0.3%
2014,Brazil,60.47086792,-0.3%
2015,Brazil,60.28671451,-0.3%
2016,Brazil,60.07103255,-0.4%
2017,Brazil,59.83288148,-0.4%
2018,Brazil,59.70842795,-0.2%
1990,Indonesia,65.43771425,
1991,Indonesia,64.48467352,-1.5%
1992,Indonesia,63.53163278,-1.5%
1993,Indonesia,62.57859205,-1.5%
1994,Indonesia,61.62555132,-1.5%
1995,Indonesia,60.67251058,-1.5%
1996,Indonesia,59.71946985,-1.6%
1997,Indonesia,58.76642912,-1.6%
1998,Indonesia,57.81338839,-1.6%
1999,Indonesia,56.86034765,-1.6%
2000,Indonesia,55.90730692,-1.7%
2001,Indonesia,55.81783757,-0.2%
2002,Indonesia,55.72836821,-0.2%
2003,Indonesia,55.63889886,-0.2%
2004,Indonesia,55.5494295,-0.2%
2005,Indonesia,55.45996015,-0.2%
2006,Indonesia,55.37049079,-0.2%
2007,Indonesia,55.28102143,-0.2%
2008,Indonesia,55.19155208,-0.2%
2009,Indonesia,55.10208272,-0.2%
2010,Indonesia,55.01261337,-0.2%
2011,Indonesia,54.50131102,-0.9%
2012,Indonesia,53.99000867,-0.9%
