Country,Value
Afghanistan,4.65
Africa,6.29
Albania,45.91
Algeria,9.45
Andorra,111.72
Angola,5.26
Anguilla,123.03
Antigua and Barbuda,72.57
Argentina,81.44
Armenia,7.43
Aruba,133.03
Asia,67.06
Australia,60.15
Austria,113.12
Azerbaijan,57.15
Bahamas,28.08
Bahrain,142.81
Bangladesh,12.75
Barbados,64.99
Belarus,26.9
Belgium,134.63
Belize,52.43
Benin,0.6
Bermuda,133.76
Bhutan,130.91
Bolivia,43.14
Bonaire Sint Eustatius and Saba,null
Bosnia and Herzegovina,26.37
Botswana,17.35
Brazil,79.11
British Virgin Islands,96.48
Brunei,49
Bulgaria,31.14
Burkina Faso,0.34
Cambodia,94.74
Cameroon,1.49
Canada,136.91
Cape Verde,42.62
Cayman Islands,150.93
Central African Republic,1.98
Chad,0.25
Chile,139.81
China,130.3
Colombia,62.44
Comoros,21.72
Congo,4.64
Cook Islands,116.77
Costa Rica,71.52
Cote d'Ivoire,4.65
Croatia,77.22
Cuba,102.7
Curacao,109.16
Cyprus,118.41
Czechia,102.8
Democratic Republic of Congo,0.1
Denmark,140.02
Djibouti,5.37
Dominica,56.67
Dominican Republic,98.24
Ecuador,83.56
Egypt,6.33
El Salvador,80.71
England,130.29
Equatorial Guinea,22.98
Estonia,91.52
Eswatini,15.63
Ethiopia,2.01
Europe,93.95
European Union,113.36
Faeroe Islands,141.9
Falkland Islands,null
Fiji,83.13
Finland,112.47
France,119.58
French Polynesia,67.67
Gabon,5.42
Gambia,11.48
Georgia,20.85
Germany,116.83
Ghana,4.09
Gibraltar,233.12
Greece,105.71
Greenland,121.05
Grenada,34.77
Guatemala,18.14
Guernsey,144.87
Guinea,7.26
Guinea-Bissau,1.55
Guyana,55.3
Haiti,0.18
High income,102.98
Honduras,33.25
Hong Kong,89.37
Hungary,109.26
Iceland,139.84
India,39.89
Indonesia,30.31
Iran,19.3
Iraq,5.23
Ireland,129.03
Isle of Man,147.71
Israel,142.45
Italy,122.41
Jamaica,13.21
Japan,87.8
Jersey,143.36
Jordan,57.29
Kazakhstan,57.58
Kenya,3.82
Kiribati,11.7
Kosovo,27.93
Kuwait,null
Kyrgyzstan,13.61
Laos,42.86
Latvia,75.74
Lebanon,32.55
Lesotho,3.41
Liberia,2
Libya,11.12
Liechtenstein,107.31
Lithuania,108.11
Low income,1.77
Lower middle income,29.33
Luxembourg,119.14
Macao,86.4
Madagascar,null
Malawi,3.81
Malaysia,87.48
Maldives,119.33
Mali,1.28
Malta,177.73
Mauritania,5.45
Mauritius,101.99
Mexico,60.17
Moldova,28.4
Monaco,112.27
Mongolia,129.35
Montenegro,57.33
Montserrat,56.57
Morocco,76.22
Mozambique,4.76
Myanmar,null
Namibia,10.42
Nauru,136.46
Nepal,28.17
Netherlands,124.59
New Caledonia,48.7
New Zealand,47.56
Nicaragua,14.59
Niger,2.01
Nigeria,1.92
Niue,148.7
North America,89.76
North Macedonia,49.61
Northern Cyprus,79.23
Northern Ireland,125.07
Norway,110.5
Oceania,44.85
Oman,52.02
Pakistan,19.68
Palestine,21.14
Panama,82.03
Papua New Guinea,1.26
Paraguay,31.18
Peru,48.94
Philippines,25.83
Pitcairn,176.6
Poland,93.73
Portugal,133.2
Qatar,143.53
Romania,49.84
Russia,50.37
Rwanda,8.29
Saint Helena,null
Saint Kitts and Nevis,82.95
Saint Lucia,32.42
Saint Vincent and the Grenadines,23.28
Samoa,56.07
San Marino,135.71
Sao Tome and Principe,20.07
Saudi Arabia,92.73
Scotland,137.69
Senegal,8.67
Serbia,82.78
Seychelles,143.82
Sierra Leone,null
Singapore,146.1
Sint Maarten (Dutch part),109.8
Slovakia,81.01
Slovenia,87.1
Solomon Islands,9.22
Somalia,1.76
South Africa,16.11
South America,72.29
South Korea,62.25
South Sudan,0.51
Spain,131.36
Sri Lanka,77.04
Sudan,1.88
Suriname,47.81
Sweden,113.2
Switzerland,106.96
Syria,2.03
Taiwan,41.51
Tajikistan,17.53
Tanzania,0.18
Thailand,34.53
Timor,33.66
Togo,5.73
Tokelau,71.7
Tonga,44.99
Trinidad and Tobago,55.34
Tunisia,34.49
Turkey,99.66
Turkmenistan,null
Turks and Caicos Islands,126.83
Tuvalu,null
Uganda,2.55
Ukraine,17.34
United Arab Emirates,175.91
United Kingdom,129.68
United States,106.83
Upper middle income,95.6
Uruguay,145.88
Uzbekistan,36.16
Vanuatu,10.11
Venezuela,null
Vietnam,15.07
Wales,140.66
Wallis and Futuna,84.78
World,61.08
Yemen,1.04
Zambia,2.84
Zimbabwe,22.51
